   Tiefe	qc
     (m)	    (MPa)
0	0,13
0,02	0,73
0,04	2,01
0,06	2,88
0,08	4,46
0,1	8,78
0,12	9,55
0,14	11,37
0,16	14,00
0,18	17,48
0,2	17,88
0,22	17,71
0,24	16,72
0,26	13,97
0,28	12,96
0,3	13,21
0,32	14,58
0,34	15,63
0,36	18,07
0,38	17,28
0,4	17,15
0,42	15,80
0,44	14,43
0,46	13,25
0,48	13,71
0,5	17,00
0,52	20,67
0,54	24,00
0,56	27,39
0,58	29,81
0,6	31,24
0,62	31,05
0,64	31,12
0,66	31,17
0,68	31,31
0,7	31,21
0,72	30,57
0,74	30,01
0,76	29,23
0,78	28,41
0,8	27,62
0,82	26,41
0,84	25,12
0,86	23,69
0,88	22,42
0,9	21,44
0,92	20,57
0,94	19,40
0,96	18,10
0,98	16,86
1	15,61
1,02	14,62
1,04	13,69
1,06	12,88
1,08	12,14
1,1	11,41
1,12	10,79
1,14	10,32
1,16	9,94
1,18	9,53
1,2	9,02
1,22	8,39
1,24	7,63
1,26	6,87
1,28	6,36
1,3	5,97
1,32	5,68
1,34	5,33
1,36	5,11
1,38	5,00
1,4	4,98
1,42	5,08
1,44	5,22
1,46	5,14
1,48	4,97
1,5	4,84
1,52	4,62
1,54	4,34
1,56	4,00
1,58	3,71
1,6	3,50
1,62	3,33
1,64	3,18
1,66	3,05
1,68	2,96
1,7	2,87
1,72	2,82
1,74	2,80
1,76	2,83
1,78	2,87
1,8	2,94
1,82	3,02
1,84	3,10
1,86	3,17
1,88	3,20
1,9	3,20
1,92	3,17
1,94	3,08
1,96	2,89
1,98	2,62
2	2,29
2,02	2,07
2,04	2,00
2,06	1,97
2,08	1,94
2,1	1,95
2,12	1,86
2,14	1,88
2,16	2,05
2,18	2,25
2,2	2,25
2,22	2,01
2,24	1,82
2,26	1,72
2,28	1,68
2,3	1,66
2,32	1,68
2,34	1,73
2,36	1,81
2,38	1,87
2,4	1,93
2,42	2,00
2,44	2,07
2,46	2,10
2,48	2,11
2,5	2,09
2,52	2,09
2,54	2,09
2,56	2,11
2,58	2,09
2,6	2,09
2,62	2,04
2,64	2,01
2,66	2,00
2,68	2,00
2,7	1,97
2,72	1,99
2,74	2,17
2,76	2,49
2,78	2,82
2,8	3,09
2,82	3,18
2,84	3,00
2,86	2,71
2,88	2,56
2,9	2,58
2,92	2,85
2,94	3,58
2,96	4,73
2,98	5,40
3	5,60
3,02	5,67
3,04	5,75
3,06	5,83
3,08	6,14
3,1	6,58
3,12	6,67
3,14	6,65
3,16	6,76
3,18	6,82
3,2	6,82
3,22	6,82
3,24	6,93
3,26	7,29
3,28	7,82
3,3	8,49
3,32	9,37
3,34	10,37
3,36	11,51
3,38	12,85
3,4	14,33
3,42	15,59
3,44	16,50
3,46	17,07
3,48	17,49
3,5	17,75
3,52	17,89
3,54	17,77
3,56	17,45
3,58	17,12
3,6	17,08
3,62	17,35
3,64	17,72
3,66	18,30
3,68	19,06
3,7	19,89
3,72	20,89
3,74	22,10
3,76	23,31
3,78	23,77
3,8	23,37
3,82	22,60
3,84	22,09
3,86	21,92
3,88	21,78
3,9	21,52
3,92	20,98
3,94	20,45
3,96	20,03
3,98	19,48
4	18,86
4,02	18,38
4,04	18,12
4,06	18,21
4,08	18,34
4,1	18,21
4,12	18,11
4,14	17,98
4,16	17,56
4,18	16,93
4,2	16,53
4,22	16,02
4,24	15,17
4,26	14,19
4,28	13,09
4,3	12,15
4,32	11,78
4,34	12,48
4,36	14,17
4,38	16,02
4,4	17,16
4,42	17,60
4,44	18,29
4,46	18,79
4,48	19,51
4,5	20,90
4,52	22,28
4,54	23,65
4,56	25,09
4,58	26,22
4,6	26,86
4,62	27,19
4,64	27,40
4,66	27,58
4,68	27,69
4,7	27,62
4,72	27,46
4,74	27,16
4,76	26,84
4,78	26,63
4,8	26,58
4,82	26,57
4,84	26,44
4,86	26,36
4,88	26,30
4,9	25,99
4,92	25,55
4,94	25,45
4,96	25,82
4,98	26,62
5	27,52
5,02	27,81
5,04	27,59
5,06	26,80
5,08	25,90
5,1	25,31
5,12	24,97
5,14	24,57
5,16	24,03
5,18	23,40
5,2	23,21
5,22	23,45
5,24	23,71
5,26	23,54
5,28	22,84
5,3	22,14
5,32	21,34
5,34	20,33
5,36	19,22
5,38	17,53
5,4	15,35
5,42	13,20
5,44	11,14
5,46	9,12
5,48	7,03
